granule_id,area
896,75.0
897,428.0
898,1159.0
899,636.0
900,52.0
901,138.0
902,193.0
903,103.0
904,378.0
905,11.0
906,333.0
907,81.0
908,121.0
909,28.0
910,273.0
911,496.0
912,529.0
913,180.0
914,120.0
915,271.0
916,71.0
917,187.0
918,691.0
919,91.0
920,74.0
921,723.0
922,26.0
923,392.0
924,336.0
925,330.0
926,29.0
927,14.0
928,517.0
929,100.0
930,45.0
931,503.0
932,15.0
933,1426.0
934,16.0
935,56.0
936,17.0
937,302.0
938,19.0
939,1481.0
940,347.0
941,93.0
942,35.0
943,85.0
944,87.0
945,399.0
946,197.0
947,245.0
948,366.0
949,468.0
950,118.0
951,91.0
952,995.0
953,80.0
954,244.0
955,114.0
956,219.0
957,163.0
958,249.0
959,541.0
960,19.0
961,146.0
962,318.0
963,11.0
964,113.0
965,32.0
966,436.0
967,94.0
968,724.0
969,405.0
970,80.0
971,82.0
972,16.0
973,93.0
974,806.0
975,631.0
976,64.0
977,14.0
978,31.0
979,102.0
980,54.0
981,75.0
982,87.0
983,19.0
984,41.0
985,15.0
986,48.0
987,10.0
988,24.0
989,505.0
990,29.0
991,94.0
992,104.0
993,112.0
994,150.0
995,102.0
996,2541.0
997,59.0
998,76.0
999,682.0
